County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Marin,California,G06,industrial,2022,G0600410,ng,443881.4534031549,3343294.5657324833
Del Norte,California,G06,industrial,2022,G0600150,ng,34773.984673782936,261916.04334306414
Lassen,California,G06,commercial,2022,G0600350,elec,174012.82777389948,7814062.553337546
Nevada,California,G06,commercial,2022,G0600570,elec,901661.0038821646,43853664.73136386
Sacramento,California,G06,commercial,2022,G0600670,elec,17041365.190591026,670124447.288952
Trinity,California,G06,commercial,2022,G0601050,elec,76888.65842814826,3592994.8328533773
Lassen,California,G06,commercial,2022,G0600350,ng,2279.9557440447393,261.1211729768758
Nevada,California,G06,commercial,2022,G0600570,ng,1025842.4745561696,9033501.591013325
Sacramento,California,G06,commercial,2022,G0600670,ng,10566739.661162365,84488158.68226853
Trinity,California,G06,commercial,2022,G0601050,ng,60504.47044934948,483773.75274356507
Lassen,California,G06,residential,2022,G0600350,elec,235950.3231507378,12135581.727991462
Nevada,California,G06,residential,2022,G0600570,elec,908746.6556433446,49601762.28649325
Sacramento,California,G06,residential,2022,G0600670,elec,14767914.937621864,601197403.9352057
Trinity,California,G06,residential,2022,G0601050,elec,147315.7243786024,7236890.645424434
Sacramento,California,G06,industrial,2022,G0600670,elec,2816879.6085809385,91263539.1657077
Lassen,California,G06,industrial,2022,G0600350,elec,79939.87838764008,2589956.702412142
Trinity,California,G06,industrial,2022,G0601050,elec,83513.14390627983,2705726.242798749
Nevada,California,G06,industrial,2022,G0600570,elec,1168815.470971462,37868227.02239174
Lassen,California,G06,residential,2022,G0600350,ng,67207.88864451794,968972.4090761828
Nevada,California,G06,residential,2022,G0600570,ng,1419843.1219410463,17731806.645382684
Sacramento,California,G06,residential,2022,G0600670,ng,18504945.708065465,221133845.2310013
Trinity,California,G06,residential,2022,G0601050,ng,128993.11039645274,1541465.884907605
Sacramento,California,G06,industrial,2022,G0600670,ng,6008218.975985718,45253627.28750832
Lassen,California,G06,industrial,2022,G0600350,ng,11261.810013472192,84823.4318638141
Trinity,California,G06,industrial,2022,G0601050,ng,55481.032955826784,417880.57275276794
Nevada,California,G06,industrial,2022,G0600570,ng,1988743.1960554118,14979121.720525255
Madera,California,G06,commercial,2022,G0600390,elec,1074506.9173122975,57991830.6750927
Stanislaus,California,G06,commercial,2022,G0600990,elec,5783975.587959276,246470625.6237955
Madera,California,G06,commercial,2022,G0600390,ng,679422.5066328915,5432437.856359672
Stanislaus,California,G06,commercial,2022,G0600990,ng,3354579.123269813,26822106.1895876
Madera,California,G06,residential,2022,G0600390,elec,1163184.3335970668,66007417.96255891
Stanislaus,California,G06,residential,2022,G0600990,elec,5098450.695135358,257964465.4493773
